timestamp,cpu_load_percent,ram_usage_percent,gpu_load_percent,gpu_temp_c,gpu_power_w
2026-08-16T04:42:25.667673,21.7,94.6,80,72,63.456
2026-08-16T04:42:26.669269,21.5,94.6,77,73,62.391
2026-08-16T04:42:27.670618,20.4,94.6,77,70,61.12
2026-08-16T04:42:28.671593,21.5,94.6,78,71,61.929
2026-08-16T04:42:29.673180,19.5,94.6,73,73,62.065
2026-08-16T04:42:30.674630,22.2,94.6,74,71,62.244
2026-08-16T04:42:31.675790,22.2,94.6,78,72,64.299
2026-08-16T04:42:32.676734,22.5,94.6,76,73,65.304
2026-08-16T04:42:33.677824,20.9,94.6,77,72,63.553
2026-08-16T04:42:34.680036,20,94.5,72,72,62.511
2026-08-16T04:42:35.682142,22.8,94.6,76,72,65.935
2026-08-16T04:42:36.683824,21.8,94.6,83,73,66.986
2026-08-16T04:42:37.685008,20.4,94.6,83,73,66.201
2026-08-16T04:42:38.686898,19,94.6,69,72,56.579
2026-08-16T04:42:39.689119,20.2,94.6,73,71,62.449
2026-08-16T04:42:40.690601,21.9,94.6,74,73,61.165
2026-08-16T04:42:41.691722,22.4,94.3,66,72,57.215
2026-08-16T04:42:42.692576,19.7,94.2,64,73,56.027
2026-08-16T04:42:43.693766,18.5,94.2,72,73,60.485
2026-08-16T04:42:44.695479,19.1,94.2,79,72,64.785
2026-08-16T04:42:45.696301,19.2,93.4,76,72,64.626
2026-08-16T04:42:46.697650,18.1,93.4,76,71,61.934
2026-08-16T04:42:47.698654,18.6,93.4,66,71,57.337
2026-08-16T04:42:48.699703,16.5,93.4,68,70,57.864
2026-08-16T04:42:49.700714,16.1,93.4,63,71,57.088
2026-08-16T04:42:50.701886,15.8,93.4,65,70,55.559
2026-08-16T04:42:51.702980,14,93.4,66,70,56.887
2026-08-16T04:42:52.704311,15.5,93.4,65,70,57.374
2026-08-16T04:42:53.705472,16.9,93.5,67,72,60.726
2026-08-16T04:42:54.707314,17,93.5,69,72,59.503
2026-08-16T04:42:55.708442,17.7,93.4,76,71,62.877
2026-08-16T04:42:56.709377,15.8,93.4,75,72,61.176
2026-08-16T04:42:57.710837,15.5,93.4,72,71,54.143
2026-08-16T04:42:58.711658,16.3,93.5,63,70,55.016
2026-08-16T04:42:59.712823,16,93.5,60,70,53.885
2026-08-16T04:43:00.716465,16,93.6,62,70,54.97
2026-08-16T04:43:01.717764,16.4,93.5,61,69,55.527
2026-08-16T04:43:02.718743,15.6,93.5,64,71,63.803
2026-08-16T04:43:03.719437,15.1,93.5,62,71,54.469
2026-08-16T04:43:04.720566,16.7,93.5,62,71,54.685
2026-08-16T04:43:05.721810,16.7,93.4,66,70,55.467
2026-08-16T04:43:06.722665,15,93.4,73,71,58.588
2026-08-16T04:43:07.723954,16.8,93.5,75,72,63.277
2026-08-16T04:43:08.724751,17.4,93.5,78,72,61.324
2026-08-16T04:43:09.725503,19.4,93.5,73,70,60.323
2026-08-16T04:43:10.726869,18,93.3,62,70,53.929
2026-08-16T04:43:11.727815,16.5,93.3,61,70,54.855
2026-08-16T04:43:12.728691,15.8,93.3,64,69,53.616
2026-08-16T04:43:13.730140,17.1,93.3,67,70,57.121
2026-08-16T04:43:14.730861,16.9,93.3,72,71,61.24
2026-08-16T04:43:15.732039,16.6,93.3,67,71,56.781
2026-08-16T04:43:16.733349,16,93.3,81,71,70.346
2026-08-16T04:43:17.735554,22.6,94.3,79,72,66.311
